Week,Flat_Type,trend
2019-01-06,Studio Flat,89
2019-01-13,Studio Flat,87
2019-01-20,Studio Flat,93
2019-01-27,Studio Flat,92
2019-02-03,Studio Flat,93
2019-02-10,Studio Flat,94
2019-02-17,Studio Flat,94
2019-02-24,Studio Flat,82
2019-03-03,Studio Flat,75
2019-03-10,Studio Flat,84
2019-03-17,Studio Flat,89
2019-03-24,Studio Flat,75
2019-03-31,Studio Flat,89
2019-04-07,Studio Flat,89
2019-04-14,Studio Flat,78
2019-04-21,Studio Flat,72
2019-04-28,Studio Flat,70
2019-05-05,Studio Flat,77
2019-05-12,Studio Flat,79
2019-05-19,Studio Flat,76
2019-05-26,Studio Flat,87
2019-06-02,Studio Flat,77
2019-06-09,Studio Flat,79
2019-06-16,Studio Flat,87
2019-06-23,Studio Flat,77
2019-06-30,Studio Flat,87
2019-07-07,Studio Flat,84
2019-07-14,Studio Flat,81
2019-07-21,Studio Flat,82
2019-07-28,Studio Flat,94
2019-08-04,Studio Flat,92
2019-08-11,Studio Flat,88
2019-08-18,Studio Flat,75
2019-08-25,Studio Flat,81
2019-09-01,Studio Flat,88
2019-09-08,Studio Flat,76
2019-09-15,Studio Flat,89
2019-09-22,Studio Flat,81
2019-09-29,Studio Flat,74
2019-10-06,Studio Flat,85
2019-10-13,Studio Flat,69
2019-10-20,Studio Flat,81
2019-10-27,Studio Flat,70
2019-11-03,Studio Flat,84
2019-11-10,Studio Flat,88
2019-11-17,Studio Flat,75
2019-11-24,Studio Flat,70
2019-12-01,Studio Flat,75
2019-12-08,Studio Flat,64
2019-12-15,Studio Flat,70
2019-12-22,Studio Flat,56
2019-12-29,Studio Flat,75
2020-01-05,Studio Flat,93
2020-01-12,Studio Flat,95
2020-01-19,Studio Flat,91
2020-01-26,Studio Flat,85
2020-02-02,Studio Flat,83
2020-02-09,Studio Flat,83
2020-02-16,Studio Flat,84
2020-02-23,Studio Flat,81
2020-03-01,Studio Flat,88
2020-03-08,Studio Flat,73
2020-03-15,Studio Flat,56
2020-03-22,Studio Flat,48
2020-03-29,Studio Flat,56
2020-04-05,Studio Flat,61
2020-04-12,Studio Flat,60
2020-04-19,Studio Flat,69
2020-04-26,Studio Flat,63
2020-05-03,Studio Flat,73
2020-05-10,Studio Flat,74
2020-05-17,Studio Flat,81
2020-05-24,Studio Flat,78
2020-05-31,Studio Flat,91
2020-06-07,Studio Flat,94
2020-06-14,Studio Flat,88
2020-06-21,Studio Flat,77
2020-06-28,Studio Flat,81
2020-07-05,Studio Flat,81
2020-07-12,Studio Flat,86
2020-07-19,Studio Flat,81
2020-07-26,Studio Flat,77
2020-08-02,Studio Flat,84
2020-08-09,Studio Flat,89
2020-08-16,Studio Flat,99
2020-08-23,Studio Flat,91
2020-08-30,Studio Flat,83
2020-09-06,Studio Flat,91
2020-09-13,Studio Flat,88
2020-09-20,Studio Flat,86
2020-09-27,Studio Flat,81
2020-10-04,Studio Flat,78
2020-10-11,Studio Flat,75
2020-10-18,Studio Flat,85
2020-10-25,Studio Flat,75
2020-11-01,Studio Flat,66
2020-11-08,Studio Flat,74
2020-11-15,Studio Flat,83
2020-11-22,Studio Flat,78
2020-11-29,Studio Flat,77
2020-12-06,Studio Flat,77
2020-12-13,Studio Flat,69
2020-12-20,Studio Flat,72
2020-12-27,Studio Flat,65
2021-01-03,Studio Flat,83
2021-01-10,Studio Flat,82
2021-01-17,Studio Flat,76
2021-01-24,Studio Flat,82
2021-01-31,Studio Flat,88
