Transportation,Month,Time
Bus,01-Apr-19,156.6
Bus,28-Apr-19,175.2
Bus,26-May-19,171.4
Bus,23-Jun-19,177
Bus,21-Jul-19,149.8
Bus,18-Aug-19,159.8
Bus,15-Sep-19,179.3
Bus,13-Oct-19,168.9
Bus,10-Nov-19,176.2
Bus,08-Dec-19,141
Bus,05-Jan-20,169.4
Bus,02-Feb-20,165.2
Bus,01-Mar-20,126.4
Bus,01-Apr-20,30.2
Bus,03-May-20,32.5
Bus,31-May-20,47
Bus,28-Jun-20,66.7
Bus,26-Jul-20,75.2
Bus,23-Aug-20,94.8
Bus,20-Sep-20,102
Bus,18-Oct-20,88.9
Bus,15-Nov-20,89
Bus,13-Dec-20,57.5
Bus,10-Jan-21,51.6
Bus,07-Feb-21,56.9
Bus,07-Mar-21,72.9
Bus,01-Apr-21,95.6
Bus,02-May-21,104
Bus,30-May-21,106.6
Bus,27-Jun-21,108.8
Bus,25-Jul-21,98.5
Bus,22-Aug-21,115.2
Bus,19-Sep-21,129.8
Bus,17-Oct-21,125
Bus,14-Nov-21,130.9
Bus,12-Dec-21,94.9
Bus,09-Jan-22,123.2
Bus,06-Feb-22,127.4
Underground,01-Apr-19,101.2
Underground,28-Apr-19,106.1
Underground,26-May-19,108
Underground,23-Jun-19,111.7
Underground,21-Jul-19,103
Underground,18-Aug-19,99.4
Underground,15-Sep-19,112.2
Underground,13-Oct-19,113.3
Underground,10-Nov-19,117.5
Underground,08-Dec-19,91.2
Underground,05-Jan-20,105.8
Underground,02-Feb-20,106.2
Underground,01-Mar-20,60.9
Underground,01-Apr-20,5.7
Underground,03-May-20,6.7
Underground,31-May-20,13.3
Underground,28-Jun-20,22.2
Underground,26-Jul-20,28.8
Underground,23-Aug-20,36.3
Underground,20-Sep-20,39.5
Underground,18-Oct-20,33.7
Underground,15-Nov-20,32.1
Underground,13-Dec-20,18.8
Underground,10-Jan-21,16.8
Underground,07-Feb-21,19.8
Underground,07-Mar-21,22.4
Underground,01-Apr-21,37.4
Underground,02-May-21,42.5
Underground,30-May-21,48.6
Underground,27-Jun-21,49.6
Underground,25-Jul-21,51.6
Underground,22-Aug-21,58.2
Underground,19-Sep-21,69.7
Underground,17-Oct-21,73.7
Underground,14-Nov-21,75.8
Underground,12-Dec-21,45.4
Underground,09-Jan-22,60.2
Underground,06-Feb-22,65.4
Other Rail Services,01-Apr-19,29.1
Other Rail Services,28-Apr-19,30.6
Other Rail Services,26-May-19,29.7
Other Rail Services,23-Jun-19,31.3
Other Rail Services,21-Jul-19,28.3
Other Rail Services,18-Aug-19,28.1
Other Rail Services,15-Sep-19,34.5
Other Rail Services,13-Oct-19,34.2
Other Rail Services,10-Nov-19,32.9
Other Rail Services,08-Dec-19,24.3
Other Rail Services,05-Jan-20,31.3
Other Rail Services,02-Feb-20,32.3
Other Rail Services,01-Mar-20,24.2
Other Rail Services,01-Apr-20,3.2
Other Rail Services,03-May-20,4.1
Other Rail Services,31-May-20,6.8
Other Rail Services,28-Jun-20,10
Other Rail Services,26-Jul-20,11.7
Other Rail Services,23-Aug-20,14.2
Other Rail Services,20-Sep-20,16.9
Other Rail Services,18-Oct-20,14.3
Other Rail Services,15-Nov-20,13.8
Other Rail Services,13-Dec-20,7.8
Other Rail Services,10-Jan-21,8.1
Other Rail Services,07-Feb-21,9.7
Other Rail Services,07-Mar-21,10.6
Other Rail Services,01-Apr-21,16.9
Other Rail Services,02-May-21,16.5
Other Rail Services,30-May-21,17.6
Other Rail Services,27-Jun-21,19.8
Other Rail Services,25-Jul-21,18.2
Other Rail Services,22-Aug-21,20.8
Other Rail Services,19-Sep-21,25.0
Other Rail Services,17-Oct-21,24.2
Other Rail Services,14-Nov-21,24.1
Other Rail Services,12-Dec-21,14.9
Other Rail Services,09-Jan-22,20.7
Other Rail Services,06-Feb-22,21.7
