month,area,percentage,,
01/01/2019,London,0.0010,,
01/02/2019,London,0.0020,,
01/03/2019,London,0.0050,,
01/04/2019,London,0.0050,,
01/05/2019,London,0.0090,,
01/06/2019,London,0.0090,,
01/07/2019,London,0.0090,,
01/08/2019,London,0.0080,,
01/09/2019,London,0.0090,,
01/10/2019,London,0.9000,,
01/11/2019,London,0.0100,,
01/12/2019,London,0.0120,,
01/01/2020,London,0.0130,,
01/02/2020,London,0.0110,,
01/03/2020,London,0.0120,,
01/04/2020,London,0.0130,,
01/05/2020,London,0.0120,,
01/06/2020,London,0.0120,,
01/07/2020,London,0.0110,,
01/08/2020,London,0.0130,,
01/09/2020,London,0.0120,,
01/10/2020,London,0.0090,,
01/11/2020,London,0.0110,,
01/12/2020,London,0.0090,,
01/01/2021,London,0.0080,,
01/02/2021,London,0.0080,,
01/03/2021,London,0.0050,,
01/04/2021,London,0.0010,,
01/05/2021,London,-0.0010,,
01/06/2021,London,-0.0010,,
01/07/2021,London,-0.0010,,
01/08/2021,London,-0.0040,,
01/09/2021,London,-0.0030,,
01/10/2021,London,0.0010,,
01/11/2021,London,-0.0010,,
01/12/2021,London,-0.0010,,
01/01/2022,London,0.0010,,
01/02/2022,London,0.0020,,
01/01/2019,North East,0.0040,,
01/02/2019,North East,0.0030,,
01/03/2019,North East,0.0030,,
01/04/2019,North East,0.0040,,
01/05/2019,North East,0.0050,,
01/06/2019,North East,0.0050,,
01/07/2019,North East,0.0070,,
01/08/2019,North East,0.0060,,
01/09/2019,North East,0.0060,,
01/10/2019,North East,0.0040,,
01/11/2019,North East,0.0050,,
01/12/2019,North East,0.0050,,
01/01/2020,North East,0.0060,,
01/02/2020,North East,0.0070,,
01/03/2020,North East,0.0070,,
01/04/2020,North East,0.0070,,
01/05/2020,North East,0.0080,,
01/06/2020,North East,0.0100,,
01/07/2020,North East,0.0090,,
01/08/2020,North East,0.0100,,
01/09/2020,North East,0.0110,,
01/10/2020,North East,0.0120,,
01/11/2020,North East,0.0120,,
01/12/2020,North East,0.0120,,
01/01/2021,North East,0.0120,,
01/02/2021,North East,0.0140,,
01/03/2021,North East,0.0140,,
01/04/2021,North East,0.0140,,
01/05/2021,North East,0.0140,,
01/06/2021,North East,0.0130,,
01/07/2021,North East,0.0140,,
01/08/2021,North East,0.0150,,
01/09/2021,North East,0.0160,,
01/10/2021,North East,0.0180,,
01/11/2021,North East,0.0190,,
01/12/2021,North East,0.0210,,
01/01/2022,North East,0.0220,,
01/02/2022,North East,0.0230,,
01/01/2019,North West,0.0110,,
01/02/2019,North West,0.0110,,
01/03/2019,North West,0.0120,,
01/04/2019,North West,0.0130,,
01/05/2019,North West,0.0130,,
01/06/2019,North West,0.0130,,
01/07/2019,North West,0.0140,,
01/08/2019,North West,0.0130,,
01/09/2019,North West,0.0130,,
01/10/2019,North West,0.0120,,
01/11/2019,North West,0.0130,,
01/12/2019,North West,0.0120,,
01/01/2020,North West,0.0110,,
01/02/2020,North West,0.0100,,
01/03/2020,North West,0.0100,,
01/04/2020,North West,0.0090,,
01/05/2020,North West,0.0100,,
01/06/2020,North West,0.0100,,
01/07/2020,North West,0.0110,,
01/08/2020,North West,0.0120,,
01/09/2020,North West,0.0130,,
01/10/2020,North West,0.0140,,
01/11/2020,North West,0.0150,,
01/12/2020,North West,0.0150,,
01/01/2021,North West,0.0170,,
01/02/2021,North West,0.0190,,
01/03/2021,North West,0.0190,,
01/04/2021,North West,0.0200,,
01/05/2021,North West,0.0200,,
01/06/2021,North West,0.0200,,
01/07/2021,North West,0.0210,,
01/08/2021,North West,0.0220,,
01/09/2021,North West,0.0230,,
01/10/2021,North West,0.0240,,
01/11/2021,North West,0.0260,,
01/12/2021,North West,0.0300,,
01/01/2022,North West,0.0310,,
01/02/2022,North West,0.0310,,
01/01/2019,Yorkshire & the Humber,0.0185,,
01/02/2019,Yorkshire & the Humber,0.0183,,
01/03/2019,Yorkshire & the Humber,0.0184,,
01/04/2019,Yorkshire & the Humber,0.0182,,
01/05/2019,Yorkshire & the Humber,0.0184,,
01/06/2019,Yorkshire & the Humber,0.0181,,
01/07/2019,Yorkshire & the Humber,0.0188,,
01/08/2019,Yorkshire & the Humber,0.0158,,
01/09/2019,Yorkshire & the Humber,0.0179,,
01/10/2019,Yorkshire & the Humber,0.0184,,
01/11/2019,Yorkshire & the Humber,0.0191,,
01/12/2019,Yorkshire & the Humber,0.0189,,
01/01/2020,Yorkshire & the Humber,0.0202,,
01/02/2020,Yorkshire & the Humber,0.0189,,
01/03/2020,Yorkshire & the Humber,0.0199,,
01/04/2020,Yorkshire & the Humber,0.0204,,
01/05/2020,Yorkshire & the Humber,0.0222,,
01/06/2020,Yorkshire & the Humber,0.0210,,
01/07/2020,Yorkshire & the Humber,0.0209,,
01/08/2020,Yorkshire & the Humber,0.0209,,
01/09/2020,Yorkshire & the Humber,0.0172,,
01/10/2020,Yorkshire & the Humber,0.0214,,
01/11/2020,Yorkshire & the Humber,0.0167,,
01/12/2020,Yorkshire & the Humber,0.0164,,
01/01/2021,Yorkshire & the Humber,0.0145,,
01/02/2021,Yorkshire & the Humber,0.0163,,
01/03/2021,Yorkshire & the Humber,0.0161,,
01/04/2021,Yorkshire & the Humber,0.0167,,
01/05/2021,Yorkshire & the Humber,0.0158,,
01/06/2021,Yorkshire & the Humber,0.0165,,
01/07/2021,Yorkshire & the Humber,0.0167,,
01/08/2021,Yorkshire & the Humber,0.0180,,
01/09/2021,Yorkshire & the Humber,0.0188,,
01/10/2021,Yorkshire & the Humber,0.0166,,
01/11/2021,Yorkshire & the Humber,0.0218,,
01/12/2021,Yorkshire & the Humber,0.0261,,
01/01/2022,Yorkshire & the Humber,0.0289,,
01/02/2022,Yorkshire & the Humber,0.0294,,
01/01/2019,East Midlands,0.0242,,
01/02/2019,East Midlands,0.0243,,
01/03/2019,East Midlands,0.0230,,
01/04/2019,East Midlands,0.0215,,
