week_start,restrictions,count
2020-03-23,Schools Closure,1
2020-03-30,Schools Closure,1
2020-04-06,Schools Closure,1
2020-04-13,Schools Closure,1
2020-04-20,Schools Closure,1
2020-04-27,Schools Closure,1
2020-05-04,Schools Closure,1
2020-05-11,Schools Closure,1
2020-05-18,Schools Closure,1
2020-05-25,Schools Closure,1
2021-01-04,Schools Closure,1
2021-01-11,Schools Closure,1
2021-01-18,Schools Closure,1
2021-01-25,Schools Closure,1
2021-02-01,Schools Closure,1
2021-02-08,Schools Closure,1
2021-02-15,Schools Closure,1
2021-02-22,Schools Closure,1
2021-03-01,Schools Closure,1
2020-03-16,Pub Closure,1
2020-03-23,Pub Closure,1
2020-03-30,Pub Closure,1
2020-04-06,Pub Closure,1
2020-04-13,Pub Closure,1
2020-04-20,Pub Closure,1
2020-04-27,Pub Closure,1
2020-05-04,Pub Closure,1
2020-05-11,Pub Closure,1
2020-05-18,Pub Closure,1
2020-05-25,Pub Closure,1
2020-06-01,Pub Closure,1
2020-06-08,Pub Closure,1
2020-06-15,Pub Closure,1
2020-06-22,Pub Closure,1
2020-06-29,Pub Closure,1
2020-11-02,Pub Closure,1
2020-11-09,Pub Closure,1
2020-11-16,Pub Closure,1
2020-11-23,Pub Closure,1
2020-11-30,Pub Closure,1
2020-12-14,Pub Closure,1
2020-12-21,Pub Closure,1
2020-12-28,Pub Closure,1
2021-01-04,Pub Closure,1
2021-01-11,Pub Closure,1
2021-01-18,Pub Closure,1
2021-01-25,Pub Closure,1
2021-02-01,Pub Closure,1
2021-02-08,Pub Closure,1
2021-02-15,Pub Closure,1
2021-02-22,Pub Closure,1
2021-03-01,Pub Closure,1
2021-03-08,Pub Closure,1
2021-03-15,Pub Closure,1
2021-03-22,Pub Closure,1
2021-03-29,Pub Closure,1
2021-04-05,Pub Closure,1
2020-03-23,Shop Closure,1
2020-03-30,Shop Closure,1
2020-04-06,Shop Closure,1
2020-04-13,Shop Closure,1
2020-04-20,Shop Closure,1
2020-04-27,Shop Closure,1
2020-05-04,Shop Closure,1
2020-05-11,Shop Closure,1
2020-05-18,Shop Closure,1
2020-05-25,Shop Closure,1
2020-06-01,Shop Closure,1
2020-06-08,Shop Closure,1
2020-11-02,Shop Closure,1
2020-11-09,Shop Closure,1
2020-11-16,Shop Closure,1
2020-11-23,Shop Closure,1
2020-11-30,Shop Closure,1
2020-12-14,Shop Closure,1
2020-12-21,Shop Closure,1
2020-12-28,Shop Closure,1
2021-01-04,Shop Closure,1
2021-01-11,Shop Closure,1
2021-01-18,Shop Closure,1
2021-01-25,Shop Closure,1
2021-02-01,Shop Closure,1
2021-02-08,Shop Closure,1
2021-02-15,Shop Closure,1
2021-02-22,Shop Closure,1
2021-03-01,Shop Closure,1
2021-03-08,Shop Closure,1
2021-03-15,Shop Closure,1
2021-03-22,Shop Closure,1
2021-03-29,Shop Closure,1
2021-04-05,Shop Closure,1
2020-03-16,Eat Place Closure,1
2020-03-23,Eat Place Closure,1
